Date,price,Volume,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum,FFT 3,FFT 6,FFT 9,ARIMA
2019-08-12,2882.699951,2851630000,2897.42571142858,2964.9590541428547,2945.042448494828,2928.157437188351,-16.885011306476827,55.0305075692019,3075.0200692812587,2854.8980390044508,2894.7950199519605,2881.699951,2869.3965,2995.0498,2988.8428,2923.2243097224073
2019-08-13,2926.320068,3853600000,2896.6071427142947,2960.769531238093,2943.655605495211,2927.874765005528,-15.780840489683214,54.68518928343961,3070.139909804972,2851.399152671214,2915.8117186506533,2925.320068,2866.5566,2994.2244,2992.9377,2885.8853628478046
2019-08-14,2840.600098,4312530000,2896.015729571437,2952.98667690476,2936.02186419927,2914.4478931585236,-21.573971040746528,60.28168856298126,3073.5500540307225,2832.423299778797,2865.6706382168845,2839.600098,2863.6458,2993.1917,2996.894,2925.604277505099
2019-08-15,2847.600098,4038000000,2891.1343121428654,2946.4714471904745,2929.472103740065,2904.163616980289,-25.30848675977586,63.587516662137155,3073.646480514749,2819.2964138662,2853.6236114056283,2846.600098,2860.6638,2991.947,3000.6897,2839.409423180762
2019-08-16,2888.679932,3498150000,2891.805733857151,2941.4033436190457,2926.450461388949,2901.781511598706,-24.668949790243005,64.25333383614901,3069.910011291344,2812.8966759467476,2876.994491801876,2887.679932,2857.6118,2990.485,3004.302,2854.895486446351
2019-08-19,2923.649902,3212880000,2889.7428501428653,2938.881429095236,2926.243012545323,2905.1458793527513,-21.09713319257162,63.43199787084057,3065.745424836917,2812.0174333535547,2908.0980986006252,2922.649902,2854.4905,2988.802,3007.7087,2882.679400746729
2019-08-20,2900.51001,3066300000,2887.151437000008,2934.856666285712,2924.3368642086325,2904.4326686830973,-19.904195525535215,61.751571647991504,3058.359809581695,2811.353522989729,2903.039372866875,2899.51001,2851.3,2986.8933,3010.8867,2924.369411056146
2019-08-21,2924.429932,3011190000,2893.112862857151,2930.9976168095213,2924.343758119104,2907.5091707318516,-16.834587387252668,58.15663746877245,3047.3108917470663,2814.6843418719764,2917.2997456222915,2923.429932,2848.0415,2984.755,3013.8132,2907.2128903861826
2019-08-22,2922.949951,2890880000,2892.6314175714365,2926.397135476188,2924.2405131473192,2909.88467538849,-14.355837758829239,55.25278496084208,3036.902705397872,2815.891565554504,2921.066549207431,2921.949951,2844.7156,2982.383,3016.466,2926.096282123748
2019-08-23,2847.110107,3937300000,2893.5614188571512,2918.9419061904737,2918.527149728999,2900.2270494825684,-18.300100246430702,52.02188591493175,3022.985678020337,2814.89813436061,2871.7622544024766,2846.110107,2841.323,2979.7747,3018.8225,2919.179648530712
2019-08-26,2878.3798829999996,2857600000,2897.9585310000084,2911.91903838095,2915.5532781194433,2896.865946946789,-18.687331172654467,45.94829082170884,3003.8156200243675,2820.0224567375326,2876.1740068008253,2877.3798829999996,2837.8645,2976.9263,3020.86,2850.528193996619
2019-08-27,2869.159912,3533630000,2895.169956714294,2904.689987952379,2912.116732480966,2892.603480031898,-19.513252449068204,39.122343470534716,2982.9346748934486,2826.4453010113093,2871.4979436002754,2868.159912,2834.3408,2973.8352,3022.5576,2881.4152126317567
2019-08-28,2887.939941,3097420000,2890.068533714294,2898.7261788571404,2910.3258590379314,2891.886012488529,-18.43984654940232,34.18376324106937,2967.093705339279,2830.358652375002,2882.4592752000917,2886.939941,2830.753,2970.499,3023.893,2863.7346062163665
2019-08-29,2924.580078,3176190000,2893.5071148571515,2896.069045285712,2911.3817271091957,2896.915868721063,-14.465858388132801,32.105999736132375,2960.281044757977,2831.8570458134473,2910.5398104000305,2923.580078,2827.1016,2966.9155,3024.8457,2893.5091908708155
2019-08-30,2926.459961,3008450000,2893.797119000009,2894.778564428569,2912.4986333233296,2901.4611136870535,-11.037519636276102,31.772533532961347,2958.3236314944916,2831.2334973626466,2921.153244133344,2925.459961,2823.3877,2963.083,3025.3955,2926.2922678785667
2019-09-03,2906.27002,3426790000,2891.4142717142945,2893.5509439999973,2912.037254558638,2902.200945427507,-9.836309131130747,29.778668453193,2953.1082809063832,2833.9936070936114,2911.2310947111146,2905.27002,2819.6123,2958.9998,3025.5225,2926.3458942292928
2019-09-04,2937.780029,3163260000,2904.3671177142946,2897.9814220476164,2913.9441267394795,2907.674650592506,-6.269476146973375,30.98028943751266,2959.942000922642,2836.020843172591,2928.9303842370377,2936.780029,2815.7764,2954.6648,3025.2083,2909.8865513587234
2019-09-05,2976.0,3890700000,2918.3128487142944,2902.4685639523786,2918.5408580921107,2918.1862428090435,-0.35461528306723267,35.20921298930812,2972.886989930995,2832.0501379737625,2960.3101280790124,2975.0,2811.8806,2950.0774,3024.4348,2936.03892123996
2019-09-06,2978.709961,3208280000,2933.9628557142946,2906.979515428569,2922.9978286778805,2927.4975840691905,4.499755391309918,38.34767779846578,2983.6748710255006,2830.284159831637,2972.5766833596704,2977.709961,2807.9263,2945.237,3023.185,2971.721569504704
2019-09-09,2978.429932,4002890000,2946.889997285723,2908.90046038095,2927.103910405445,2935.3333299047,8.229419499255073,41.62274432673838,2992.145949034427,2825.654971727473,2976.47884911989,2977.429932,2803.9143,2940.1438,3021.443,2981.2555216221317
