??,??,??,???,???,??,??,???(?),????(?),???
3/14/2019,9521.62,9417.93,-174.12,-1.82%,9323.06,9620.46,213640400,23310558,-
3/13/2019,9828.15,9592.06,-249.18,-2.53%,9534.33,9828.15,269256512,29628780,-
3/12/2019,9766.5,9841.24,136.91,1.41%,9683.07,9928.2,304022976,33665820,-
3/11/2019,9425.8,9704.33,340.61,3.64%,9370.38,9704.33,263359696,28600920,-
3/8/2019,9447.6,9363.72,-314.39,-3.25%,9346.73,9726.3,342990464,35143384,-
3/7/2019,9685.3,9678.11,-22.38,-0.23%,9546.55,9782.22,313274912,32582192,-
3/6/2019,9640.95,9700.49,104.75,1.09%,9518.71,9707.92,323237696,31837838,-
3/5/2019,9366.77,9595.74,211.32,2.25%,9328,9595.74,256584912,26525754,-
3/4/2019,9280.65,9384.42,216.77,2.36%,9260.73,9567.15,295549920,31583902,-
3/1/2019,9111.96,9167.65,135.72,1.50%,9005.49,9167.65,189705952,19339838,-
2/28/2019,9001.18,9031.93,26.16,0.29%,8970.65,9097.4,188171104,18668992,-
2/27/2019,9062.96,9005.77,-83.27,-0.92%,8901.72,9158.2,258643760,25156688,-
2/26/2019,9162.92,9089.04,-45.54,-0.50%,9036.75,9276.45,342700928,33407628,-
2/25/2019,8804.97,9134.58,483.38,5.59%,8785.42,9134.58,315605376,31929150,-
2/22/2019,8431.56,8651.2,199.49,2.36%,8393.86,8651.2,195792672,18742722,-
2/21/2019,8467.15,8451.71,-21.72,-0.26%,8416.17,8619.62,198616048,18730126,-
2/20/2019,8443.98,8473.43,32.56,0.39%,8372.96,8488.47,168289632,15013503,-
2/19/2019,8480.76,8440.87,-6.05,-0.07%,8350.86,8537.35,203979872,18604190,-
2/18/2019,8187.89,8446.92,321.28,3.95%,8187.89,8446.92,194363184,17286600,-
2/15/2019,8198.45,8125.64,-94.32,-1.15%,8117.51,8223.64,153803744,13496230,-
2/14/2019,8182.32,8219.96,48.75,0.60%,8141.1,8260.33,159692416,13561352,-
2/13/2019,8029.97,8171.21,161.14,2.01%,8016.78,8191.98,159283952,15042435,-
2/12/2019,7915.06,8010.08,91.03,1.15%,7903.9,8027.63,131745056,11603653,-
2/11/2019,7695.17,7919.05,235.05,3.06%,7695.17,7922.54,104994256,10675456,-
2/1/2019,7524.67,7684,204.78,2.74%,7517.83,7684.11,89480520,8838527,-
1/31/2019,7485.79,7479.22,8.75,0.12%,7428.86,7552.56,89861448,8497673,-
1/30/2019,7518.03,7470.47,-80.83,-1.07%,7470.36,7580.22,70157960,7102702.5,-
1/29/2019,7575.43,7551.3,-38.28,-0.50%,7428.4,7578.13,88122016,8312254.5,-
1/28/2019,7641.29,7589.58,-5.87,-0.08%,7569.77,7704.85,84189408,8617314,-
1/25/2019,7581.29,7595.45,21.92,0.29%,7554.55,7657.03,89048496,8732749,-
1/24/2019,7537.5,7573.53,49.76,0.66%,7485.24,7604.99,82000200,7852151,-
1/23/2019,7493.07,7523.77,6.98,0.09%,7489.32,7542.65,65041596,6068972.5,-
1/22/2019,7615.8,7516.79,-109.44,-1.44%,7493.78,7615.8,77588640,7295641,-
1/21/2019,7591.19,7626.24,44.85,0.59%,7578.49,7661.62,90369928,8984397,-
1/18/2019,7486.95,7581.39,111.04,1.49%,7479.66,7584.76,96383240,8731960,-
1/17/2019,7534.04,7470.36,-70.09,-0.93%,7463.99,7545.81,85122056,7573133.5,-
1/16/2019,7545.35,7540.45,-6.9,-0.09%,7518.71,7586.66,89083168,8349026.5,-
1/15/2019,7403.79,7547.35,138.15,1.86%,7386.15,7549.66,90646632,8716628,-
1/2/2019,7259.49,7149.27,-90.52,-1.25%,7136.95,7266.47,62816132,6375603.5,-
12/28/2018,7229.87,7239.79,24.45,0.34%,7174.9,7282.5,67351216,6268166.5,-
12/27/2018,7402.6,7215.34,-74.21,-1.02%,7215.34,7415.92,74024504,6846087.5,-
12/26/2018,7323.99,7289.55,-42.8,-0.58%,7277.56,7369.84,60792500,5520955.5,-
12/24/2018,7315.27,7392.56,54.96,0.75%,7293.15,7393.71,57685820,5690368.5,-
12/21/2018,7399.15,7337.6,-88.84,-1.20%,7283.76,7405.27,72267056,6780225.5,-
12/20/2018,7402.2,7426.44,7.75,0.10%,7363.77,7445.05,61708788,5953000.5,-
12/19/2018,7541.5,7418.69,-111.64,-1.48%,7407.46,7548.72,56770612,5695058.5,-
12/18/2018,7540.96,7530.33,-62.32,-0.82%,7473.45,7609.4,63314252,6125311,-
12/17/2018,7599.01,7592.65,-37,-0.48%,7515.46,7618.68,65340868,6482430,-
12/13/2018,7717.47,7808.04,110.02,1.43%,7679.02,7849.66,81721720,8544216,-
12/12/2018,7721.82,7698.02,12.62,0.16%,7675.26,7737.24,60194464,5989091,-
12/11/2018,7642.16,7685.4,60.54,0.79%,7628.15,7685.4,61499976,6140936,-
12/10/2018,7663.26,7624.86,-109.03,-1.41%,7606,7698.53,68603512,6932218.5,-
12/7/2018,7741.73,7733.89,-1.16,-0.01%,7712.27,7765.14,63410420,6651195.5,-
12/6/2018,7854.59,7735.05,-193.46,-2.44%,7725.99,7872.44,84069424,8918507,-
12/5/2018,7825.12,7928.51,-25.21,-0.32%,7808.74,7972.98,89759416,8976203,-
12/4/2018,7916.55,7953.72,15.25,0.19%,7890.66,7954.31,86559456,8381375.5,-
12/3/2018,7901.83,7938.47,256.72,3.34%,7835.23,7968.09,120577056,12479721,-
11/30/2018,7583.84,7681.75,84.74,1.12%,7537.92,7688.88,77225320,7386747.5,-
11/29/2018,7800.57,7597.01,-160.06,-2.06%,7597.01,7820.45,91021488,8575294,-
11/28/2018,7633.37,7757.07,121.91,1.60%,7572.65,7757.07,91690320,8050170.5,-
11/27/2018,7657.8,7635.16,19.25,0.25%,7589,7682.76,69468064,6563494,-
11/26/2018,7627.4,7615.91,-20.8,-0.27%,7586.6,7682.2,70697120,6444102,-
11/23/2018,7882.85,7636.71,-257.28,-3.26%,7616.47,7889.13,107115424,9366929,-
11/22/2018,7929.79,7893.99,-14.48,-0.18%,7857.81,7950.97,88248544,7689919.5,-
